team_id,team_display_name,team_short_display_name,team_abbreviation,team_logo,games_played,total_pts,total_pts_allowed,total_fga,total_fgm,total_fta,total_tov,total_oreb,total_dreb,total_fga_opp,total_fgm_opp,total_fta_opp,total_tov_opp,total_oreb_opp,total_dreb_opp,possessions,ortg,drtg,net_rtg
150,Duke Blue Devils,Duke,DUKE,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,34,2798,2147,1986,973,750,358,424,946,1963,770,466,414,312,689,2263.2655946703007,123.62667495096156,94.862927490963,28.763747459998555
2272,High Point Panthers,High Point,HPU,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,34,3059,2389,2104,1034,911,318,395,842,1937,826,690,558,367,797,2440.5943766063806,125.33832042395778,97.88599133469602,27.452329089261767
2250,Gonzaga Bulldogs,Gonzaga,GONZ,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,33,2809,2178,2092,1067,651,319,395,922,1903,751,589,477,322,740,2317.926062084791,121.18591899663646,93.96330778735287,27.222611209283585
130,Michigan Wolverines,Michigan,MICH,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,34,2952,2353,2046,1034,771,407,374,985,2155,828,566,377,377,683,2398.556553745605,123.07402113951132,98.10066793403459,24.973353205476727
139,Saint Louis Billikens,Saint Louis,SLU,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,33,2879,2294,1980,1008,676,411,338,980,1997,756,736,386,353,717,2355.215689582348,122.23933513751919,97.4008457122157,24.838489425303493
66,Iowa State Cyclones,Iowa State,ISU,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,34,2781,2215,2048,1003,696,349,403,808,1862,794,519,519,316,738,2298.1982161336905,121.00783911835671,96.37985028664514,24.627988831711576
12,Arizona Wildcats,Arizona,ARIZ,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,34,2929,2339,2069,1039,887,368,434,1012,2129,834,590,407,372,706,2415.4325496907004,121.26192471717178,96.83565787417713,24.42626684299465
248,Houston Cougars,Houston,HOU,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,34,2623,2137,2099,944,565,289,435,809,1775,710,693,466,362,777,2193.341174643404,119.58923811415023,97.43126261911516,22.157975495035075
356,Illinois Fighting Illini,Illinois,ILL,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,32,2700,2234,1984,918,653,284,422,879,2024,830,417,250,325,669,2113.3726092295465,127.75787801017802,105.70781462027321,22.050063389904807
193,Miami (OH) RedHawks,Miami OH,M-OH,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,32,2902,2409,1909,1001,756,335,265,870,1994,869,580,412,334,739,2323.735851378539,124.88510681101769,103.66927026455606,21.21583654646163
2006,Akron Zips,Akron,AKR,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,34,3004,2499,2169,1090,601,372,386,908,2074,874,597,460,376,749,2416.739039647577,124.29972581723432,103.40379987259271,20.895925944641604
2608,Saint Mary's Gaels,Saint Mary's,SMC,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,32,2502,2066,1847,852,668,346,398,893,1862,755,480,330,277,654,2103.4518125182803,118.94734099016856,98.21950698868434,20.72783400148421
57,Florida Gators,Florida,FLA,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,33,2864,2376,2125,1016,830,394,532,967,2025,827,689,368,319,700,2374.989271348791,120.59001842873558,100.0425571880851,20.547461240650478
2377,McNeese Cowboys,McNeese,MCN,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,33,2641,2193,1985,928,756,317,418,744,1741,708,701,559,385,729,2226.9965141127586,118.59021705977754,98.47343658163278,20.11678047814476
41,UConn Huskies,UConn,CONN,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,34,2635,2214,1994,962,598,380,395,848,1842,740,740,408,341,711,2240.08818815331,117.6292975399441,98.83539459333444,18.793902946609663
258,Virginia Cavaliers,Virginia,UVA,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,34,2742,2326,2058,952,680,368,449,918,2011,795,664,359,379,735,2279.188016296703,120.3060028568985,102.05388863790878,18.252114218989718
97,Louisville Cardinals,Louisville,LOU,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,33,2797,2382,2016,948,675,384,374,895,1964,832,656,391,329,764,2319.7527063590524,120.57319697624177,102.68335902660277,17.889837949639002
328,Utah State Aggies,Utah State,USU,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,34,2806,2392,1986,990,751,360,371,805,1888,800,730,483,374,743,2322.213200868581,120.83300529643304,103.00518484286094,17.8278204535721
2509,Purdue Boilermakers,Purdue,PUR,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,35,2858,2455,2094,1044,599,310,395,845,1991,888,518,358,303,692,2262.3575053410755,126.32839828597847,108.51512169071978,17.813276595258685
58,South Florida Bulls,South Florida,USF,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,33,2895,2492,2178,956,894,368,511,899,2033,839,773,471,412,832,2442.2374632938654,118.53884167739734,102.03757977895481,16.501261898442536
158,Nebraska Cornhuskers,Nebraska,NEB,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,32,2473,2119,1884,876,512,312,281,836,1865,754,463,416,320,789,2146.8403598615914,115.19254278224192,98.70319375477987,16.48934902746204
2599,St. John's Red Storm,St John's,SJU,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,34,2773,2379,2093,950,877,356,445,869,2025,852,643,469,376,793,2396.567432596298,115.70715525395825,99.26697524311817,16.44018001084008
2449,North Dakota State Bison,N Dakota St,NDSU,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,34,2745,2366,2091,979,644,366,395,844,1924,842,537,466,284,792,2339.603598947224,117.3275678510324,101.1282424537496,16.19932539728279
127,Michigan State Spartans,Michigan St,MSU,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,32,2526,2189,1874,882,678,368,407,868,1818,746,562,318,254,651,2127.8040405837537,118.71393943339834,102.87601481381985,15.837924619578487
238,Vanderbilt Commodores,Vanderbilt,VAN,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,34,2936,2557,2085,991,796,323,364,837,1992,850,816,434,386,803,2396.2489567073817,122.52483164496711,106.7084449986992,15.816386646267901
2390,Miami Hurricanes,Miami,MIA,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,33,2704,2349,1974,989,740,370,404,827,1897,844,551,420,295,689,2271.6177414000617,119.03411171341922,103.40648240193111,15.627629311488107
2541,Santa Clara Broncos,Santa Clara,SCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,34,2817,2463,2205,1032,556,368,445,769,1891,852,711,478,361,769,2342.1237737749852,120.27545390821166,105.16096662262171,15.114487285589945
2633,Tennessee Volunteers,Tennessee,TENN,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,33,2622,2289,2017,933,781,385,529,876,1894,775,686,366,339,644,2225.1635054466233,117.83403752497397,102.8688451161958,14.965192408778165
2294,Iowa Hawkeyes,Iowa,IOWA,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,33,2482,2177,1777,873,613,320,291,680,1625,749,636,441,265,676,2079.314695096929,119.36625109477714,104.69795674187343,14.668294352903715
2670,VCU Rams,VCU,VCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,34,2773,2430,1974,909,863,358,380,867,2004,864,663,405,370,796,2339.681383077888,118.52041137123015,103.86029557594276,14.660115795287396
2275,Hofstra Pride,Hofstra,HOF,https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png,34,2571,2246,2005,886,639,360,422,913,1967,761,668,343,381,768,2222.767351109841,115.66662605136271,101.04521280099597,14.621413250366743
61,Georgia Bulldogs,Georgia,UGA,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,32,2874,2533,2097,988,775,341,417,805,2071,907,637,440,431,769,2359.376381284894,121.81184921563244,107.35887754460576,14.452971671026674
47,Howard Bison,Howard,HOW,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,33,2556,2236,1875,860,843,447,409,798,1822,762,742,498,354,691,2293.528327651515,111.44401266747141,97.49171061207595,13.952302055395464
2378,UMBC Retrievers,UMBC,UMBC,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,32,2439,2144,1827,861,601,307,263,872,1903,806,467,329,294,764,2137.630255177113,114.09831022427764,100.297981599365,13.800328624912638
62,Hawai'i Rainbow Warriors,Hawai'i,HAW,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,32,2548,2231,1870,859,802,431,355,902,1918,788,672,391,306,745,2301.582337898856,110.70644565017393,96.93331249824885,13.77313315192508
