season,athlete_id,player,team,position,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,fgm_total,fga_total,fg_pct,fg3m_total,fg3a_total,fg3_pct,threepar,ftm_total,fta_total,ft_pct,fta_rate,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos
2026,9347720,Rylee VanDresar,Cornell College,F,17,5,83.667,4.922,13,0.765,6.215,5,17,0.294,1,9,0.111,0.529,2,2,1,0.118,20,1.176,9.562,4,0.235,1.912,16,0.941,7.649,1,0.059,0.478,1,0.059,0.478,0,0,0,6,0.353,2.869,0.324,0.364,0.145,0.027,0.251,0.063,0.227,0.073,0.045,0.03,0.008,0.891,0.248,0.777,0.078,0.998,0.942,0.02
2026,9347721,Heidi Jorgensen,Cornell College,G,25,25,723.95,28.958,238,9.52,13.15,75,243,0.309,49,186,0.263,0.765,39,50,0.78,0.206,88,3.52,4.862,5,0.2,0.276,83,3.32,4.586,30,1.2,1.658,29,1.16,1.602,4,0.16,0.221,46,1.84,2.542,0.409,0.449,0.218,0.102,0.148,0.009,0.136,0.624,0.399,0.369,0.294,0.102,0.061,0.742,0.398,0.773,0.991,0.26
2026,9347722,Gracie Park,Cornell College,G,3,0,5.217,1.739,3,1,23.003,1,1,1,1,1,1,1,0,0,NA,0,1,0.333,7.668,0,0,0,1,0.333,7.668,0,0,0,0,0,0,0,0,0,1,0.333,7.668,1.5,1.5,0.194,0,0.5,0,0.227,0.446,1,1,0,0.988,0,0.991,1,NA,0.999,0
2026,9347723,Bradie Buffington,Cornell College,F,13,0,47.15,3.627,11,0.846,9.332,5,16,0.312,0,2,0,0.125,1,3,0.333,0.188,17,1.308,14.422,2,0.154,1.697,15,1.154,12.725,0,0,0,0,0,0,1,0.077,0.848,5,0.385,4.242,0.312,0.318,0.24,0,0.224,0.056,0.377,0.582,0.025,0.027,0.003,0.775,0.194,1,0.002,0.002,0.521,0.128
2026,9347724,Kiley Edris,Cornell College,G,25,15,374.85,14.994,35,1.4,3.735,11,34,0.324,2,16,0.125,0.471,11,18,0.611,0.529,36,1.44,3.842,2,0.08,0.213,34,1.36,3.628,31,1.24,3.308,27,1.08,2.881,2,0.08,0.213,27,1.08,2.881,0.353,0.417,0.093,0.173,0.392,0.007,0.107,0.012,0.282,0.178,0.676,0.982,0.02,0.436,0.025,0.194,0.638,0.93
2026,9347727,Mya Janssen,Cornell College,F,19,0,87.95,4.629,10,0.526,4.548,3,9,0.333,0,0,NA,0,4,6,0.667,0.667,30,1.579,13.644,11,0.579,5.003,19,1,8.641,5,0.263,2.274,2,0.105,0.91,1,0.053,0.455,7,0.368,3.184,0.333,0.43,0.107,0.12,0.376,0.166,0.256,0.017,0.239,0.032,0.598,0.986,0.969,0.917,NA,0.347,0.002,0.999
2026,9347728,Maya Hodge,Cornell College,G,21,0,142.683,6.794,27,1.286,7.569,9,27,0.333,1,9,0.111,0.333,8,11,0.727,0.407,28,1.333,7.85,10,0.476,2.803,18,0.857,5.046,17,0.81,4.766,5,0.238,1.402,1,0.048,0.28,11,0.524,3.084,0.352,0.424,0.152,0.267,0.257,0.093,0.149,0.107,0.304,0.174,0.939,0.74,0.929,0.84,0.021,0.65,0.444,0.781
2026,9347729,Erin Knowles,Cornell College,F,25,25,785.467,31.419,490,19.6,24.953,171,373,0.458,19,74,0.257,0.198,129,179,0.721,0.48,172,6.88,8.759,52,2.08,2.648,120,4.8,6.111,43,1.72,2.19,40,1.6,2.037,29,1.16,1.477,87,3.48,4.43,0.484,0.542,0.348,0.188,0.161,0.088,0.181,1,0.825,0.765,0.962,0.385,0.606,0.525,0.428,0.605,0.655,0.907
2026,9347730,Hailey Testolin,Cornell College,G,22,0,202.233,9.192,38,1.727,7.516,14,60,0.233,7,39,0.179,0.65,3,6,0.5,0.1,18,0.818,3.56,5,0.227,0.989,13,0.591,2.571,6,0.273,1.187,7,0.318,1.385,2,0.091,0.396,11,0.5,2.176,0.292,0.303,0.185,0.068,0.149,0.033,0.076,0.313,0.031,0.061,0.083,0.118,0.45,0.112,0.125,0.076,0.865,0.08
2026,9347732,Penley Park,Cornell College,F,25,10,243.883,9.755,8,0.32,1.312,3,15,0.2,0,1,0,0.067,2,6,0.333,0.4,38,1.52,6.232,17,0.68,2.788,21,0.84,3.444,7,0.28,1.148,9,0.36,1.476,9,0.36,1.476,14,0.56,2.296,0.2,0.227,0.066,0.058,0.442,0.092,0.102,0.004,0.005,0.005,0.132,0.99,0.619,0.02,0.004,0.005,0.388,0.649
