season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,4433411,Angela Dugalic,UCLA,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433411.png,38,3,904,23.79,341,8.97,15.09,214,5.63,9.47,62,1.63,2.74,152,4,6.73,82,2.16,3.63,42,1.11,1.86,24,0.63,1.06,70,1.84,3.1,0.5,0.33,0.33,0.74,0.2,0.56,0.58,0.2,0.14,0.19,0.1,0.2,0.24,0.79,0.78,0.93,0.77,0.72,0.39,0.58,0.33,0.66,0.89,0.07,0.22,0.55,0.52,0.09,0.75,0.17,0.11,0.19,0.33,0.68,0.17,0.34,0.43,0.38,0.42,0.47,0.63,0.52,0.5,0.54,0.37,0.48,0.57,0.58
2026,4433438,Madison Layden-Zay,Purdue,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433438.png,25,25,867,34.68,256,10.24,11.81,92,3.68,4.24,5,0.2,0.23,87,3.48,4.01,83,3.32,3.83,43,1.72,1.98,13,0.52,0.6,56,2.24,2.58,0.36,0.35,0.69,0.85,0.17,0.48,0.52,0.17,0.18,0.19,0.01,0.14,0.28,0.4,0.42,0.68,0.84,0.72,0.06,0.63,0.56,0.78,0.94,0.35,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4433448,Faith Blackstone,Rutgers,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433448.png,19,10,455,23.95,186,9.79,16.35,76,4,6.68,23,1.21,2.02,53,2.79,4.66,19,1,1.67,22,1.16,1.93,12,0.63,1.05,42,2.21,3.69,0.37,0.25,0.37,0.73,0.41,0.42,0.48,0.26,0.11,0.18,0.06,0.14,0.81,0.19,0.1,0.21,0.51,0.68,0.8,0.68,0.06,0.28,0.47,0.91,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4433464,Kaylah Ivey,Rutgers,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433464.png,29,29,1018,35.1,236,8.14,9.27,79,2.72,3.1,5,0.17,0.2,74,2.55,2.91,103,3.55,4.05,36,1.24,1.41,2,0.07,0.08,71,2.45,2.79,0.28,0.27,0.65,0.67,0.08,0.37,0.38,0.19,0.24,0.19,0.01,0.09,0.41,0.04,0.05,0.84,0.61,0.73,0.03,0.24,0.11,0.1,0.9,0.06,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4433542,Saylor Poffenbarger,Maryland,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433542.png,31,31,927,29.9,295,9.52,12.73,223,7.19,9.62,39,1.26,1.68,184,5.94,7.94,100,3.23,4.31,60,1.94,2.59,20,0.65,0.86,66,2.13,2.85,0.39,0.31,0.54,0.74,0.18,0.47,0.5,0.18,0.17,0.18,0.05,0.25,0.33,0.28,0.32,0.64,0.91,0.69,0.69,0.97,0.28,0.3,0.76,0.37,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4433737,Mir McLean,Maryland,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433737.png,32,8,463,14.47,157,4.91,13.56,131,4.09,11.32,64,2,5.53,67,2.09,5.79,24,0.75,2.07,31,0.97,2.68,6,0.19,0.52,27,0.84,2.33,0.64,NA,0,0.7,0.61,0.64,0.67,0.14,0.09,0.19,0.17,0.18,0.1,1,0.98,0.11,0.38,0.72,1,0.91,NA,0.16,0,1,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4433985,Kylie Feuerbach,Iowa,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4433985.png,31,30,892,28.77,159,5.13,7.13,65,2.1,2.91,9,0.29,0.4,56,1.81,2.51,86,2.77,3.86,36,1.16,1.61,14,0.45,0.63,52,1.68,2.33,0.31,0.27,0.69,0.86,0.27,0.4,0.46,0.12,0.14,0.23,0.01,0.08,0.04,0.14,0.08,0.45,0.52,0.9,0.14,0.11,0.14,0.79,0.93,0.66,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4565505,Kiki Rice,UCLA,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4565505.png,38,37,1170,30.79,567,14.92,19.38,223,5.87,7.62,56,1.47,1.91,167,4.39,5.71,163,4.29,5.57,57,1.5,1.95,15,0.39,0.51,64,1.68,2.19,0.49,0.38,0.23,0.9,0.42,0.53,0.61,0.22,0.22,0.12,0.07,0.17,0.63,0.9,0.74,0.81,0.72,0.12,0.86,0.87,0.74,0.94,0.24,0.93,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4565506,Londynn Jones,USC,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4565506.png,32,16,769,24.03,336,10.5,17.48,51,1.59,2.65,9,0.28,0.47,42,1.31,2.18,52,1.62,2.7,22,0.69,1.14,6,0.19,0.31,60,1.88,3.12,0.38,0.33,0.54,0.84,0.27,0.47,0.52,0.24,0.14,0.16,0.01,0.07,0.74,0.44,0.36,0.37,0.22,0.5,0.15,0.07,0.36,0.77,0.78,0.64,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
2026,4565529,Caroline Lau,Northwestern,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4565529.png,29,29,988,34.07,256,8.83,10.36,159,5.48,6.44,32,1.1,1.3,127,4.38,5.14,245,8.45,9.92,28,0.97,1.13,5,0.17,0.2,125,4.31,5.06,0.35,0.33,0.48,0.67,0.19,0.43,0.45,0.21,0.48,0.31,0.04,0.16,0.55,0.1,0.13,1,0.38,0.99,0.61,0.81,0.35,0.11,0.61,0.4,0.21,0.53,0.5,0.17,1.18,0.17,0.04,0.13,0.34,0.78,0.41,0.24,0.56,0.48,0.49,0.6,0.53,0.6,0.65,0.58,0.44,0.49,0.5,0.53
