season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,4698725,Lexus Bargesser,Colorado St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4698725.png,33,33,1012,30.67,502,15.21,19.84,191,5.79,7.55,30,0.91,1.19,161,4.88,6.36,90,2.73,3.56,43,1.3,1.7,19,0.58,0.75,67,2.03,2.65,0.46,0.41,0.23,0.82,0.32,0.5,0.56,0.28,0.21,0.13,0.04,0.19,0.88,0.92,0.85,0.84,0.74,0.25,0.65,0.91,0.95,0.79,0.13,0.75,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
2026,4704139,Destiny Leo,UNLV,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4704139.png,32,23,523,16.34,138,4.31,10.55,48,1.5,3.67,3,0.09,0.23,45,1.41,3.44,29,0.91,2.22,13,0.41,0.99,3,0.09,0.23,24,0.75,1.84,0.4,0.35,0.86,0.79,0.12,0.55,0.57,0.14,0.1,0.17,0.01,0.1,0.06,0.95,0.96,0.24,0.12,0.44,0.08,0.3,0.72,0.6,0.99,0.12,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
2026,4704751,Aaliyah Alexander,UNLV,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4704751.png,32,32,1047,32.72,362,11.31,13.83,78,2.44,2.98,17,0.53,0.65,61,1.91,2.33,104,3.25,3.97,24,0.75,0.92,3,0.09,0.11,63,1.97,2.41,0.37,0.38,0.37,0.86,0.37,0.43,0.51,0.21,0.19,0.15,0.02,0.07,0.43,0.66,0.44,0.76,0.43,0.34,0.39,0.1,0.84,0.94,0.38,0.84,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
2026,4705203,Lexi Deden,Colorado St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4705203.png,33,4,315,9.55,73,2.21,9.27,71,2.15,9.02,33,1,4.19,38,1.15,4.83,5,0.15,0.63,8,0.24,1.02,14,0.42,1.78,21,0.64,2.67,0.44,NA,0,0.85,0.31,0.44,0.5,0.16,0.03,0.22,0.14,0.14,0.23,0.41,0.32,0.02,0.15,0.7,0.89,0.21,NA,0.95,0.01,0.63,0.2,0.5,0.47,0.09,0.71,0.19,0.09,0.2,0.28,0.69,0.18,0.28,0.51,0.42,0.45,0.54,0.64,0.51,0.6,0.53,0.48,0.38,0.55,0.53
2026,4898526,Sophie Sene,Utah State,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898526.png,20,15,406,20.3,184,9.2,18.13,126,6.3,12.41,44,2.2,4.33,82,4.1,8.08,13,0.65,1.28,9,0.45,0.89,7,0.35,0.69,21,1.05,2.07,0.47,0.42,0.24,0.86,0.24,0.52,0.56,0.23,0.09,0.11,0.13,0.25,0.73,0.87,0.8,0.53,0.35,0.08,0.87,0.82,0.96,0.97,0.77,0.44,0.2,0.5,0.47,0.09,0.71,0.19,0.09,0.2,0.28,0.69,0.18,0.28,0.51,0.42,0.45,0.54,0.64,0.51,0.6,0.53,0.48,0.38,0.55,0.53
2026,4898617,Clarissa Craig,New Mexico,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898617.png,10,9,156,15.6,65,6.5,16.67,43,4.3,11.03,18,1.8,4.62,25,2.5,6.41,6,0.6,1.54,5,0.5,1.28,6,0.6,1.54,11,1.1,2.82,0.56,1,0.03,0.8,0.64,0.58,0.65,0.19,0.08,0.18,0.14,0.21,0.39,1,0.96,0.48,0.43,0.45,0.87,0.57,1,0.88,0.16,1,0.2,0.5,0.47,0.09,0.71,0.19,0.09,0.2,0.28,0.69,0.18,0.28,0.51,0.42,0.45,0.54,0.64,0.51,0.6,0.53,0.48,0.38,0.55,0.53
2026,4898851,Alyssa Hargrove,New Mexico,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898851.png,32,31,811,25.34,209,6.53,10.31,103,3.22,5.08,24,0.75,1.18,79,2.47,3.9,82,2.56,4.04,50,1.56,2.47,14,0.44,0.69,62,1.94,3.06,0.35,0.26,0.5,0.76,0.11,0.41,0.43,0.18,0.19,0.2,0.03,0.12,0.29,0.17,0.27,0.73,0.91,0.78,0.64,0.5,0.21,0.49,0.73,0.08,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
2026,4898941,Emily Howard,Boise St,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898941.png,27,0,191,7.07,64,2.37,13.4,48,1.78,10.05,11,0.41,2.3,37,1.37,7.75,7,0.26,1.47,2,0.07,0.42,8,0.3,1.68,23,0.85,4.82,0.39,NA,0,0.67,0.17,0.39,0.42,0.26,0.08,0.23,0.07,0.23,0.59,0.47,0.49,0.41,0.41,1,0.69,0.98,NA,0.27,0.39,0.46,0.24,0.49,0.44,0.08,0.15,0.18,0.09,0.19,0.27,0.75,0.16,0.27,0.31,0.55,0.57,0.77,0.78,0.57,0.73,0.53,0.17,0.9,0.65,0.63
2026,4898996,Malene Pedersen,Wyoming,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898996.png,29,29,963,33.21,499,17.21,20.73,117,4.03,4.86,16,0.55,0.66,101,3.48,4.2,61,2.1,2.53,17,0.59,0.71,3,0.1,0.12,49,1.69,2.04,0.45,0.34,0.4,0.87,0.22,0.51,0.55,0.29,0.19,0.1,0.02,0.13,0.93,0.88,0.91,0.69,0.22,0.05,0.46,0.57,0.65,0.97,0.54,0.43,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
2026,4899452,Payton Muma,Wyoming,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4899452.png,30,23,662,22.07,115,3.83,6.95,83,2.77,5.02,8,0.27,0.48,75,2.5,4.53,79,2.63,4.77,27,0.9,1.63,3,0.1,0.18,63,2.1,3.81,0.31,0.18,0.47,0.48,0.14,0.35,0.36,0.19,0.26,0.28,0.02,0.14,0.35,0.05,0.07,0.93,0.52,0.97,0.25,0.66,0.04,0.03,0.69,0.16,0.22,0.48,0.45,0.15,0.94,0.17,0.04,0.13,0.31,0.74,0.42,0.25,0.51,0.47,0.48,0.55,0.57,0.52,0.64,0.52,0.48,0.42,0.6,0.57
