season,athlete_id,player,team,position,pos_group,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,4698725,Lexus Bargesser,Colorado St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4698725.png,33,33,1012,30.67,502,15.21,19.84,191,5.79,7.55,30,0.91,1.19,161,4.88,6.36,90,2.73,3.56,43,1.3,1.7,19,0.58,0.75,67,2.03,2.65,0.46,0.41,0.23,0.82,0.32,0.5,0.56,0.28,0.21,0.13,0.04,0.19,0.97,0.81,0.71,0.81,0.71,0.22,0.6,0.92,0.83,0.67,0.14,0.79,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,4704549,Deja Jones,Texas St,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4704549.png,30,30,679,22.63,157,5.23,9.25,131,4.37,7.72,25,0.83,1.47,106,3.53,6.24,62,2.07,3.65,22,0.73,1.3,10,0.33,0.59,74,2.47,4.36,0.33,0.24,0.29,0.59,0.18,0.36,0.38,0.19,0.19,0.27,0.05,0.19,0.38,0.07,0.1,0.68,0.42,0.92,0.74,0.89,0.12,0.08,0.32,0.27,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,4704907,Lizzy Williamson,Oregon St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4704907.png,35,27,656,18.74,228,6.51,13.9,201,5.74,12.26,68,1.94,4.15,133,3.8,8.11,23,0.66,1.4,15,0.43,0.91,33,0.94,2.01,32,0.91,1.95,0.52,0,0.01,0.55,0.2,0.52,0.53,0.19,0.08,0.13,0.14,0.23,0.41,0.58,0.74,0.49,0.27,0.19,0.91,0.89,0,0.18,0.23,0.35,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,4705203,Lexi Deden,Colorado St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4705203.png,33,4,315,9.55,73,2.21,9.27,71,2.15,9.02,33,1,4.19,38,1.15,4.83,5,0.15,0.63,8,0.24,1.02,14,0.42,1.78,21,0.64,2.67,0.44,NA,0,0.85,0.31,0.44,0.5,0.16,0.03,0.22,0.14,0.14,0.21,0.28,0.24,0.02,0.12,0.7,0.8,0.28,NA,0.95,0.01,0.54,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,4898526,Sophie Sene,Utah State,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898526.png,20,15,406,20.3,184,9.2,18.13,126,6.3,12.41,44,2.2,4.33,82,4.1,8.08,13,0.65,1.28,9,0.45,0.89,7,0.35,0.69,21,1.05,2.07,0.47,0.42,0.24,0.86,0.24,0.52,0.56,0.23,0.09,0.11,0.13,0.25,0.76,0.81,0.71,0.54,0.29,0.07,0.78,0.92,0.96,0.98,0.79,0.45,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,4898941,Emily Howard,Boise St,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4898941.png,27,0,191,7.07,64,2.37,13.4,48,1.78,10.05,11,0.41,2.3,37,1.37,7.75,7,0.26,1.47,2,0.07,0.42,8,0.3,1.68,23,0.85,4.82,0.39,NA,0,0.67,0.17,0.39,0.42,0.26,0.08,0.23,0.07,0.23,0.42,0.16,0.18,0.81,0.15,0.36,0.65,0.66,NA,0.4,0.18,0.21,0.23,0.54,0.51,0.04,0.24,0.22,0.09,0.23,0.28,0.66,0.07,0.35,0.36,0.44,0.45,0.71,0.66,0.31,0.7,0.59,1,0.42,0.84,0.48
2026,4899730,Jaisa Gamble,Fresno St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4899730.png,33,32,1087,32.94,260,7.88,9.57,148,4.48,5.45,60,1.82,2.21,88,2.67,3.24,69,2.09,2.54,69,2.09,2.54,15,0.45,0.55,94,2.85,3.46,0.4,0.31,0.06,0.6,0.16,0.41,0.43,0.18,0.13,0.24,0.07,0.11,0.27,0.14,0.17,0.84,1,0.8,0.25,0.09,0.46,0.26,0.4,0.14,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,4906420,Josee Steadman,Boise St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/4906420.png,21,1,102,4.86,33,1.57,12.94,13,0.62,5.1,5,0.24,1.96,8,0.38,3.14,3,0.14,1.18,2,0.1,0.78,0,0,0,4,0.19,1.57,0.31,0.26,0.64,NA,0,0.39,0.39,0.22,0.06,0.09,0.06,0.09,0.68,0.03,0.12,0.26,0.02,0.04,0.19,0.01,0.3,NA,0.99,0.01,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
2026,5105747,Aaliyah Gayles,Utah State,G,Guard,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5105747.png,22,21,615,27.95,268,12.18,17.43,93,4.23,6.05,10,0.45,0.65,83,3.77,5.4,43,1.95,2.8,35,1.59,2.28,7,0.32,0.46,75,3.41,4.88,0.31,0.26,0.36,0.76,0.4,0.36,0.44,0.32,0.18,0.2,0.02,0.16,1,0.14,0.08,0.65,0.91,0.72,0.4,0.85,0.19,0.37,0.43,0.89,0.21,0.51,0.47,0.16,0.96,0.18,0.04,0.12,0.34,0.77,0.41,0.26,0.48,0.47,0.46,0.56,0.61,0.55,0.57,0.52,0.5,0.39,0.55,0.59
2026,5105750,Nene Sow,Oregon St,C,Center,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5105750.png,35,8,427,12.2,118,3.37,11.05,163,4.66,15.27,41,1.17,3.84,122,3.49,11.43,4,0.11,0.37,6,0.17,0.56,27,0.77,2.53,34,0.97,3.19,0.6,NA,0,0.36,0.52,0.6,0.57,0.17,0.02,0.25,0.13,0.32,0.26,0.57,0.97,0.34,0.6,1,0.95,0.99,NA,0.31,0.39,1,0.23,0.54,0.51,0.04,0.24,0.22,0.09,0.23,0.28,0.66,0.07,0.35,0.36,0.44,0.45,0.71,0.66,0.31,0.7,0.59,1,0.42,0.84,0.48
2026,5105768,Lauren Glazier,Washington St,F,Forward,https://a.espncdn.com/i/headshots/womens-college-basketball/players/full/5105768.png,25,0,224,8.96,81,3.24,14.46,45,1.8,8.04,14,0.56,2.5,31,1.24,5.54,15,0.6,2.68,6,0.24,1.07,10,0.4,1.79,15,0.6,2.68,0.35,0.2,0.15,0.91,0.11,0.36,0.39,0.27,0.15,0.13,0.08,0.17,0.9,0.05,0.09,0.9,0.1,0.15,0.42,0.44,0.12,1,0.57,0.05,0.21,0.52,0.48,0.1,0.73,0.18,0.1,0.19,0.29,0.68,0.16,0.29,0.6,0.4,0.34,0.56,0.6,0.62,0.66,0.54,0.44,0.48,0.58,0.49
