team_id,team_display_name,team_short_display_name,team_abbreviation,team_logo,games_played,total_pts,total_pts_allowed,total_fga,total_fta,total_tov,total_oreb,possessions,ortg,drtg,net_rtg
41,UConn Huskies,UConn,CONN,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,34,3018,1713,2254,438,434,385,2495.72,120.92702707034444,68.63750741269054,52.2895196576539
99,LSU Tigers,LSU,LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,32,3023,1947,2261,756,475,563,2505.64,120.64781852141569,77.70469820085887,42.943120320556815
26,UCLA Bruins,UCLA,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,32,2724,1824,2045,491,406,447,2220.04,122.70049188302914,82.16068178951731,40.53981009351183
251,Texas Longhorns,Texas,TEX,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,34,2889,1926,2259,670,411,497,2467.8,117.06783369803063,78.04522246535375,39.02261123267688
2579,South Carolina Gamecocks,South Carolina,SC,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,34,2934,1970,2200,690,434,447,2490.6,117.80293905083113,79.09740624749057,38.70553280334056
2628,TCU Horned Frogs,TCU,TCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,34,2638,1915,2091,472,469,373,2394.68,110.16085656538661,79.968931130673,30.19192543471361
2217,Fairfield Stags,Fairfield,FAIR,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png,32,2416,1785,1908,419,420,297,2215.36,109.05676729741441,80.57381193124368,28.482955366170728
161,Fairleigh Dickinson Knights,FDU,FDU,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,34,2349,1744,2051,406,452,482,2199.64,106.79020203305996,79.28570129657581,27.504500736484147
130,Michigan Wolverines,Michigan,MICH,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,31,2593,1952,2081,636,461,475,2346.84,110.48899797174072,83.17567452404083,27.313323447699887
97,Louisville Cardinals,Louisville,LOU,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,34,2718,2066,2248,523,454,475,2457.12,110.61730806798202,84.08217750862799,26.53513055935403
238,Vanderbilt Commodores,Vanderbilt,VAN,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,31,2625,2031,2030,550,406,413,2265,115.89403973509933,89.66887417218543,26.2251655629139
120,Maryland Terrapins,Maryland,MD,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,31,2550,1960,2033,622,482,486,2302.68,110.74052842774506,85.11821008563935,25.622318342105714
277,West Virginia Mountaineers,West Virginia,WVU,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,33,2517,1917,1986,685,510,423,2374.4,106.00572776280323,80.7361859838275,25.269541778975736
197,Oklahoma State Cowgirls,Oklahoma St,OKST,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,32,2607,2029,2033,552,444,413,2306.88,113.0097794423637,87.95429324455542,25.05548619780828
135,Minnesota Golden Gophers,Minnesota,MINN,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,30,2248,1738,1919,433,328,396,2041.52,110.11403268153141,85.13264626356832,24.981386417963094
127,Michigan State Spartans,Michigan St,MSU,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,30,2491,1977,1906,600,389,365,2194,113.53691886964448,90.10938924339106,23.427529626253417
153,North Carolina Tar Heels,North Carolina,UNC,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,33,2489,1946,2074,465,464,410,2332.6,106.70496441738833,83.42621966903884,23.27874474834948
232,Charleston Cougars,Charleston,COFC,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,32,2379,1858,2139,528,397,509,2259.32,105.29716905971706,82.23713329674415,23.060035762972916
201,Oklahoma Sooners,Oklahoma,OU,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,31,2687,2110,2238,641,505,506,2519.04,106.6676194105691,83.7620680894309,22.905551321138205
261,Vermont Catamounts,Vermont,UVM,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,34,2236,1755,1912,393,360,311,2133.92,104.78368448676613,82.24300817275248,22.540676314013652
2710,Western Illinois Leathernecks,W Illinois,WIU,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,31,2352,1863,1812,647,358,266,2188.68,107.46203190964418,85.11979823455233,22.342233675091848
2571,South Dakota State Jackrabbits,S Dakota St,SDST,https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png,33,2527,2021,1920,585,445,338,2284.4,110.61985641744003,88.46962003151812,22.150236385921914
96,Kentucky Wildcats,Kentucky,UK,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,33,2496,1988,2062,540,419,417,2301.6,108.44629822732013,86.37469586374696,22.071602363573163
