team_id,team_display_name,team_abbreviation,games,pts,fga,fgm,fg3m,fta,oreb,dreb,tov,opp_pts,opp_fga,opp_fgm,opp_fg3m,opp_fta,opp_oreb,opp_dreb,opp_tov,game_minutes,poss,opp_poss,ortg,drtg,net_rtg,efg,tov_pct,orb_pct,ft_rate,ts_pct,opp_efg,opp_tov_pct,opp_orb_pct,opp_ft_rate,opp_ts_pct,pace,lx,ly
1,Atlanta Hawks,ATL,82,9714,7541,3575,1201,1762,900,2670,1162,9516,7334,3473,1056,1906,914,2796,1317,3951,8578.28,8575.64,113.2395,110.9655,2.274,0.5537,0.1355,0.2435,0.2337,0.584,0.5455413144259613,0.15357454370752505,0.25502232142857145,0.2598854649577311,0.582186417118581,104.2,112.98663282712982,110.90118074138985
2,Boston Celtics,BOS,82,9418,7398,3456,1268,1534,1025,2777,1012,8787,7115,3145,1149,1740,890,2489,1018,3946,8059.959999999999,8008.6,116.8492,109.7196,7.1297,0.5529,0.1256,0.2917,0.2074,0.5833,0.5227687983134224,0.12711335314536873,0.24270520861739842,0.24455375966268447,0.557508311549882,97.7307,116.94186709458297,109.47147916550045
3,New Orleans Pelicans,NO,82,9473,7420,3455,914,2104,1002,2596,1163,9842,7519,3589,1164,1939,1040,2715,1187,3961,8506.76,8519.16,111.3585,115.5278,-4.1693,0.5272,0.1367,0.2696,0.2836,0.5675,0.5547280223433967,0.13933298588123713,0.28602860286028603,0.25788003723899455,0.5877814088598402,103.1613,111.74491283707026,115.70581504279528
4,Chicago Bulls,CHI,82,9537,7417,3476,1169,1824,849,2845,1224,9964,7687,3676,1153,1884,925,2824,1047,3951,8594.56,8637.96,110.9655,115.3513,-4.3858,0.5475,0.1424,0.2311,0.2459,0.5801,0.5532067126317158,0.12120917438839728,0.2453580901856764,0.24508911148692597,0.5850191875020551,104.6774,110.66764752531584,115.12555957485375
5,Cleveland Cavaliers,CLE,82,9801,7381,3554,1173,1959,961,2682,1147,9464,7303,3387,1163,1922,923,2616,1233,3951,8428.96,8458.68,116.2777,111.8851,4.3926,0.561,0.1361,0.2687,0.2654,0.5945,0.543406819115432,0.14576742470456383,0.2560332871012483,0.2631795152676982,0.5807075501799064,102.5825,116.36277597847376,111.8856290030833
6,Dallas Mavericks,DAL,82,9358,7366,3432,899,2113,863,2803,1193,9810,7695,3676,1050,1828,980,2855,1096,3971,8625.72,8615.32,108.4895,113.8669,-5.3774,0.5269,0.1383,0.2321,0.2869,0.564,0.5459389213775179,0.12721523982858443,0.2590536611155168,0.23755685510071475,0.5771049919287661,104.2017,108.48949421033839,113.86692543051217
7,Denver Nuggets,DEN,82,10010,7196,3570,1161,2116,801,2805,1057,9588,7481,3503,1119,1898,922,2590,965,3986,8383.04,8359.12,119.4078,114.7011,4.7067,0.5768,0.1261,0.2362,0.2941,0.6158,0.5430423740141692,0.11544277388050415,0.247383954923531,0.25370939713941987,0.5764707579977201,100.8058,119.40775661335266,114.7010690120491
8,Detroit Pistons,DET,82,9657,7340,3560,902,2144,1073,2663,1241,8988,6988,3096,1040,2228,924,2400,1385,3961,8451.36,8429.32,114.2656,106.6278,7.6378,0.5465,0.1468,0.309,0.2921,0.5829,0.5174585002862049,0.16430744116963172,0.25759687761360467,0.31883228391528334,0.5639833741616803,102.2813,114.2656329868802,106.6278181395415
9,Golden State Warriors,GS,82,9398,7280,3357,1286,1732,932,2540,1284,9444,7240,3474,1060,1790,944,2684,1304,3961,8394.08,8387.6,111.9599,112.5948,-0.6349,0.5495,0.153,0.2577,0.2379,0.5843,0.5530386740331492,0.1554675950212218,0.2709529276693456,0.2472375690607735,0.5882206387961533,101.6815,111.88763585250844,112.95369718961445
10,Houston Rockets,HOU,82,9449,7362,3523,940,1917,1233,2713,1261,9021,7217,3320,1014,1809,928,2309,1102,3981,8233.48,8186.959999999999,114.7631,110.1874,4.5757,0.5424,0.1532,0.3481,0.2604,0.5758,0.5302757378412083,0.13460429756588527,0.2548750343312277,0.2506581682139393,0.5629006010263373,98.9929,115.15955390470337,110.20366941541374
11,Indiana Pacers,IND,82,9219,7304,3346,1097,1842,806,2633,1187,9874,7424,3630,993,2096,921,2905,1106,3951,8495.48,8531.24,108.5165,115.7393,-7.2228,0.5332,0.1397,0.2172,0.2522,0.5681,0.5558324353448276,0.12964117760138033,0.259144625773776,0.2823275862068966,0.5915238478644276,103.4273,108.38805823945003,115.73860088069107
12,LA Clippers,LAC,82,9329,6857,3322,1019,2025,784,2545,1160,9236,7177,3365,1089,1781,946,2528,1162,3956,8124,8176.639999999999,114.8326,112.9559,1.8767,0.5588,0.1428,0.2367,0.2953,0.602,0.5447262087223074,0.14211216343143396,0.2709825264967058,0.2481538247178487,0.5801041122321823,98.8916,114.69556028001175,113.02913713540572
13,Los Angeles Lakers,LAL,82,9540,6863,3448,970,2194,774,2587,1188,9396,7221,3485,1050,1737,893,2467,1198,3941,8242.36,8290.279999999999,115.7435,113.3375,2.406,0.5731,0.1441,0.2388,0.3197,0.6093,0.5553247472649218,0.14450657878865372,0.2566091954022989,0.2405484004985459,0.5883325318586199,100.6809,115.86692614045364,113.38316428473414
14,Miami Heat,MIA,82,9911,7648,3582,1123,2051,970,2825,1120,9720,7629,3550,1146,1834,949,2855,1233,3941,8700.44,8719.96,113.9138,111.4684,2.4454,0.5418,0.1287,0.2536,0.2682,0.5796,0.5404378031196749,0.14139973119142749,0.2514573396926338,0.24039847948617118,0.5761051498584631,106.0872,113.93438584909512,111.67510342718505
15,Milwaukee Bucks,MIL,82,9072,7012,3345,1240,1564,731,2610,1247,9581,7198,3407,1216,1975,910,2736,1071,3951,8216.16,8228,110.4165,116.4439,-6.0273,0.5655,0.1518,0.2108,0.223,0.5891,0.5577938316198944,0.13016528925619836,0.2585227272727273,0.274381772714643,0.5938390975579522,99.8886,110.53305604610925,116.54878171193964
16,Minnesota Timberwolves,MIN,82,9676,7260,3495,1128,2072,907,2708,1213,9401,7352,3395,990,2076,964,2623,1232,3956,8477.68,8533.44,114.135,110.1666,3.9684,0.5591,0.1431,0.2569,0.2854,0.592,0.529107725788901,0.1443731953350583,0.2625272331154684,0.2823721436343852,0.5686932577092084,103.2019,113.9383430688787,110.12724262387991
17,Brooklyn Nets,BKN,82,8686,6933,3071,1073,1885,847,2378,1292,9505,6949,3457,1027,2018,834,2739,1189,3951,8207.4,8191.92,105.8313,116.029,-10.1976,0.5203,0.1574,0.2362,0.2719,0.5595,0.5713771765721687,0.14514301897479467,0.25965130759651306,0.29040149661821846,0.6064244626715597,99.6162,105.83132295245754,116.02896512661256
18,New York Knicks,NY,82,9549,7328,3500,1168,1743,1040,2700,1119,9030,7014,3223,1138,1859,819,2505,1179,3951,8173.92,8191.959999999999,116.8228,110.23,6.5927,0.5573,0.1369,0.2934,0.2379,0.5898,0.5406330196749358,0.14392160117969327,0.23273657289002558,0.2650413458796692,0.5764840474159725,99.4131,116.78875633588157,110.68546189007655
19,Orlando Magic,ORL,82,9491,7244,3363,961,2251,898,2659,1162,9439,7191,3421,993,2053,858,2694,1200,3966,8498.44,8436.32,111.6793,111.8853,-0.206,0.5306,0.1367,0.25,0.3107,0.5763,0.5447781949659296,0.14224211504542264,0.24395791868069377,0.2854957585871228,0.5830631850482808,102.4796,111.60396415314639,111.76335848631285
20,Philadelphia 76ers,PHI,82,9502,7404,3422,1011,2035,967,2611,1117,9517,7348,3430,1097,1987,991,2723,1259,3976,8449.4,8490.28,112.4577,112.0929,0.3648,0.5305,0.1322,0.2621,0.2749,0.5725,0.5414398475775721,0.14828721785382812,0.27512493059411436,0.27041371801850844,0.5787324197181317,102.2516,112.77698159712938,112.11153521745618
21,Phoenix Suns,PHX,82,9232,7389,3362,1210,1663,1064,2471,1188,9112,7011,3296,998,1938,967,2614,1333,3951,8244.720000000001,8229.720000000001,111.9747,110.7207,1.254,0.5369,0.1441,0.2893,0.2251,0.5684,0.5412922550278134,0.16197391891826207,0.2812681791739383,0.2764227642276423,0.5793695604624783,100.0725,111.81276897189524,110.55587143921794
22,Portland Trail Blazers,POR,82,9469,7389,3350,1186,2069,1157,2614,1417,9493,7323,3446,1027,1992,982,2540,1280,3951,8559.36,8497.48,110.6274,111.7155,-1.088,0.5336,0.1655,0.313,0.28,0.5705,0.5406937047658064,0.15063289351666612,0.27308120133481645,0.2720196640721016,0.5788781727621752,103.6103,110.38207006742626,111.69876898809267
23,Sacramento Kings,SAC,82,9102,7299,3408,843,1870,943,2523,1175,9922,7294,3605,1134,2001,911,2692,1147,3951,8353.8,8410.44,108.9564,117.9724,-9.016,0.5247,0.1407,0.2594,0.2562,0.5603,0.5719769673704415,0.1363781205263934,0.26528829353523586,0.27433506992048257,0.6068917259163931,101.8329,108.95640307405014,117.97242474828903
