season,athlete_id,player,team,position,headshot_url,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_36,reb_total,rpg,reb_per_36,oreb_total,oreb_pg,oreb_per_36,dreb_total,dreb_pg,dreb_per_36,ast_total,apg,ast_per_36,stl_total,spg,stl_per_36,blk_total,bpg,blk_per_36,tov_total,tovpg,tov_per_36,fg_pct,fg3_pct,threepar,ft_pct,fta_rate,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,stl_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos,usage_pos_avg,ts_pos_avg,efg_pos_avg,ast_pos_avg,stl_pos_avg,tov_pos_avg,oreb_pos_avg,dreb_pos_avg,fg3_pos_avg,ft_pos_avg,threepar_pos_avg,fta_rate_pos_avg,usage_pos_avg_pctile,ts_pos_avg_pctile,efg_pos_avg_pctile,ast_pos_avg_pctile,stl_pos_avg_pctile,tov_pos_avg_pctile,oreb_pos_avg_pctile,dreb_pos_avg_pctile,fg3_pos_avg_pctile,ft_pos_avg_pctile,threepar_pos_avg_pctile,fta_rate_pos_avg_pctile
2026,869,DeWanna Bonner,Mercury,F,https://a.espncdn.com/i/headshots/wnba/players/full/869.png,11,6,279,25.36,86,7.82,11.1,52,4.73,6.71,8,0.73,1.03,44,4,5.68,11,1,1.42,10,0.91,1.29,6,0.55,0.77,10,0.91,1.29,0.34,0.14,0.48,0.95,0.24,0.37,0.44,0.17,0.07,0.09,0.03,0.2,0.35,0.1,0.1,0.2,0.58,0.14,0.16,0.64,0.09,0.96,0.76,0.33,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,924,Alysha Clark,Wings,F,https://a.espncdn.com/i/headshots/wnba/players/full/924.png,7,0,68,9.71,20,2.86,10.59,11,1.57,5.82,3,0.43,1.59,8,1.14,4.24,2,0.29,1.06,2,0.29,1.06,1,0.14,0.53,3,0.43,1.59,0.45,0.4,0.91,0.75,0.73,0.64,0.69,0.12,0.04,0.17,0.05,0.15,0.04,0.96,0.92,0.09,0.1,0.69,0.37,0.3,0.71,0.5,1,0.99,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,1054,Tiffany Hayes,Valkyries,G,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png,8,1,118,14.75,59,7.38,18,11,1.38,3.36,1,0.12,0.31,10,1.25,3.05,16,2,4.88,4,0.5,1.22,0,0,0,5,0.62,1.53,0.46,0.36,0.27,0.85,0.49,0.51,0.59,0.21,0.24,0.09,0.01,0.1,0.46,0.7,0.6,0.62,0.2,0.09,0.21,0.5,0.65,0.66,0.17,0.92,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,1068,Nneka Ogwumike,Sparks,F,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png,8,8,256,32,122,15.25,17.16,59,7.38,8.3,13,1.62,1.83,46,5.75,6.47,16,2,2.25,9,1.12,1.27,3,0.38,0.42,13,1.62,1.83,0.51,0.5,0.25,0.77,0.34,0.57,0.61,0.19,0.11,0.11,0.07,0.23,0.47,0.77,0.77,0.55,0.8,0.29,0.54,0.82,0.95,0.64,0.42,0.58,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,2284331,Emma Cannon,Sparks,F,https://a.espncdn.com/i/headshots/wnba/players/full/2284331.png,2,0,3,1.5,3,1.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,1,1,1,NA,0,1.5,1.5,0.44,0,0.67,0,0,1,1,1,0,0,1,0,0,1,NA,1,0,0.2,0.55,0.51,0.12,0.87,0.15,0.08,0.18,0.33,0.74,0.33,0.33,0.52,0.5,0.52,0.65,0.5,0.59,0.6,0.53,0.43,0.47,0.45,0.52
2026,2327695,Rebekah Gardner,Liberty,G,https://a.espncdn.com/i/headshots/wnba/players/full/2327695.png,10,0,189,18.9,68,6.8,12.95,23,2.3,4.38,7,0.7,1.33,16,1.6,3.05,16,1.6,3.05,3,0.3,0.57,2,0.2,0.38,9,0.9,1.71,0.58,0.36,0.31,0.85,0.29,0.63,0.67,0.15,0.14,0.15,0.05,0.1,0.05,0.92,0.93,0.32,0.08,0.54,0.91,0.42,0.63,0.64,0.26,0.43,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,2490553,Brittney Griner,Sun,C,https://a.espncdn.com/i/headshots/wnba/players/full/2490553.png,5,5,126,25.2,61,12.2,17.43,23,4.6,6.57,10,2,2.86,13,2.6,3.71,10,2,2.86,4,0.8,1.14,6,1.2,1.71,9,1.8,2.57,0.51,0,0.04,0.72,0.38,0.51,0.56,0.22,0.16,0.14,0.09,0.13,0.59,0.32,0.49,0.79,0.63,0.52,0.62,0.04,0.01,0.33,0.22,0.65,0.22,0.57,0.52,0.12,0.67,0.14,0.08,0.22,0.35,0.73,0.22,0.38,0.61,0.44,0.53,0.55,0.5,0.5,0.53,0.49,0.3,0.35,0.58,0.62
2026,2491205,Skylar Diggins,Sky,G,https://a.espncdn.com/i/headshots/wnba/players/full/2491205.png,8,8,237,29.62,113,14.12,17.16,33,4.12,5.01,6,0.75,0.91,27,3.38,4.1,40,5,6.08,8,1,1.22,8,1,1.22,12,1.5,1.82,0.41,0.3,0.29,0.76,0.41,0.45,0.51,0.22,0.31,0.1,0.03,0.13,0.57,0.33,0.34,0.83,0.56,0.19,0.54,0.68,0.31,0.2,0.21,0.79,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,2491214,Erica Wheeler,Sparks,G,https://a.espncdn.com/i/headshots/wnba/players/full/2491214.png,9,7,253,28.11,77,8.56,10.96,19,2.11,2.7,4,0.44,0.57,15,1.67,2.13,44,4.89,6.26,11,1.22,1.57,1,0.11,0.14,21,2.33,2.99,0.37,0.26,0.41,0.76,0.23,0.43,0.47,0.18,0.27,0.2,0.02,0.08,0.29,0.24,0.24,0.75,0.79,0.86,0.44,0.21,0.21,0.21,0.54,0.29,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
2026,2529047,Odyssey Sims,Wings,G,https://a.espncdn.com/i/headshots/wnba/players/full/2529047.png,9,7,165,18.33,60,6.67,13.09,8,0.89,1.75,0,0,0,8,0.89,1.75,27,3,5.89,8,0.89,1.75,0,0,0,14,1.56,3.05,0.49,0.42,0.26,0.75,0.26,0.54,0.57,0.18,0.25,0.21,0,0.06,0.28,0.63,0.7,0.66,0.53,0.88,0.01,0.14,0.81,0.15,0.14,0.34,0.22,0.55,0.49,0.2,0.92,0.15,0.03,0.11,0.33,0.83,0.42,0.31,0.54,0.48,0.5,0.54,0.55,0.55,0.54,0.51,0.57,0.42,0.57,0.52
