league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
nba,2026,national,ATL,ball_security,dead_ball_to,possession,espn_derived,449,0.04968462985504039,0.0022271714922048997,83,532,0.0037593984962406013,28
nba,2026,national,ATL,ball_security,live_ball_to,possession,espn_derived,800,0.08852495297111873,0.00125,52,862,0.002320185614849188,24
nba,2026,national,ATL,ball_security,no_turnover,possession,espn_derived,7788,0.8617904171738409,1.3195942475603493,76,7634,1.3341629552004193,66
nba,2026,national,ATL,context,halfcourt,possession,espn_derived,6301,0.6972446608387739,1.0706237105221394,41,6533,1.0544925761518444,21
nba,2026,national,ATL,context,second_chance,possession,espn_derived,1300,0.14385304857806794,1.106923076923077,48,1280,1.11328125,52
nba,2026,national,ATL,context,transition,possession,espn_derived,1436,0.15890229058315813,1.458217270194986,34,1215,1.5432098765432098,93
nba,2026,national,ATL,creation,assisted,made_fg,espn_derived,2604,0.6863468634686347,2.4420122887864824,62,2330,2.4081545064377683,28
nba,2026,national,ATL,creation,unassisted,made_fg,espn_derived,1190,0.31365313653136534,2.0991596638655463,28,1396,2.1260744985673354,45
nba,2026,national,ATL,shot_zone,above_break_3,attempt,espn_derived,2402,0.31126085266295195,1.1677768526228143,97,2269,1.1185544292639928,59
nba,2026,national,ATL,shot_zone,at_rim,attempt,espn_derived,1997,0.2587793183879746,1.4752128192288432,38,2236,1.4338103756708407,14
nba,2026,national,ATL,shot_zone,corner_3,attempt,espn_derived,834,0.10807308539587923,1.2014388489208634,41,709,1.1889985895627644,28
nba,2026,national,ATL,shot_zone,mid_range,attempt,espn_derived,998,0.12932486717636388,0.6452905811623246,24,1053,0.6609686609686609,21
nba,2026,national,ATL,shot_zone,paint,attempt,espn_derived,1486,0.19256187637683037,0.9825033647375505,38,1272,1.0188679245283019,59
nba,2026,national,BKN,ball_security,dead_ball_to,possession,espn_derived,485,0.06018116391611863,0.008247422680412371,14,492,0.0020325203252032522,47
nba,2026,national,BKN,ball_security,live_ball_to,possession,espn_derived,807,0.10013649336145924,0.0012391573729863693,7,696,0,76
nba,2026,national,BKN,ball_security,no_turnover,possession,espn_derived,6767,0.8396823427224221,1.2788532584601744,3,6875,1.3752727272727272,3
nba,2026,national,BKN,context,halfcourt,possession,espn_derived,5882,0.7298672291847623,1.013940836450187,3,5687,1.109723931774222,83
nba,2026,national,BKN,context,second_chance,possession,espn_derived,1196,0.148405509368408,1.0827759197324414,28,1195,1.1330543933054393,69
nba,2026,national,BKN,context,transition,possession,espn_derived,981,0.12172726144682963,1.4271151885830784,3,1181,1.5165114309906857,69
nba,2026,national,BKN,creation,assisted,made_fg,espn_derived,2049,0.6672093780527516,2.4660810151293315,79,2255,2.4008869179600887,17
nba,2026,national,BKN,creation,unassisted,made_fg,espn_derived,1022,0.33279062194724846,2.11545988258317,45,1202,2.1023294509151413,0
nba,2026,national,BKN,shot_zone,above_break_3,attempt,espn_derived,2302,0.34937016239186525,1.0425716768027802,3,1864,1.1684549356223175,93
nba,2026,national,BKN,shot_zone,at_rim,attempt,espn_derived,1700,0.25800576718773716,1.4717647058823529,34,1982,1.4924318869828457,45
nba,2026,national,BKN,shot_zone,corner_3,attempt,espn_derived,694,0.10532706025193504,1.180115273775216,24,672,1.34375,100
nba,2026,national,BKN,shot_zone,mid_range,attempt,espn_derived,743,0.1127636970708757,0.6029609690444145,17,933,0.6559485530546624,7
nba,2026,national,BKN,shot_zone,paint,attempt,espn_derived,1150,0.17453331309758688,0.9095652173913044,3,1262,1.0221870047543582,76
