league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
wnba,2026,national,ATL,ball_security,dead_ball_to,possession,espn_derived,261,0.07957317073170732,0.007662835249042145,21,251,0,14
wnba,2026,national,ATL,ball_security,live_ball_to,possession,espn_derived,297,0.09054878048780488,0.016835016835016835,79,388,0.007731958762886598,0
wnba,2026,national,ATL,ball_security,no_turnover,possession,espn_derived,2722,0.8298780487804878,1.3210874357090374,57,2646,1.2876039304610734,21
wnba,2026,national,ATL,context,halfcourt,possession,espn_derived,2309,0.7039634146341464,1.0268514508445215,50,2610,0.9977011494252873,21
wnba,2026,national,ATL,context,second_chance,possession,espn_derived,576,0.17560975609756097,1.0677083333333333,71,414,1.0917874396135265,86
wnba,2026,national,ATL,context,transition,possession,espn_derived,395,0.12042682926829268,1.5620253164556963,100,261,1.3563218390804597,7
wnba,2026,national,ATL,creation,assisted,made_fg,espn_derived,843,0.6722488038277512,2.3890865954922895,71,768,2.3541666666666665,36
wnba,2026,national,ATL,creation,unassisted,made_fg,espn_derived,411,0.3277511961722488,2.0632603406326036,14,462,2.1385281385281387,93
wnba,2026,national,ATL,shot_zone,above_break_3,attempt,espn_derived,874,0.3263629574309186,1.022883295194508,21,697,1.175035868005739,93
wnba,2026,national,ATL,shot_zone,at_rim,attempt,espn_derived,963,0.359596713965646,1.3541017653167187,0,782,1.4271099744245523,57
wnba,2026,national,ATL,shot_zone,corner_3,attempt,espn_derived,163,0.060866318147871544,1.030674846625767,14,166,1.1385542168674698,50
wnba,2026,national,ATL,shot_zone,mid_range,attempt,espn_derived,214,0.07991038088125467,0.38317757009345793,0,381,0.6981627296587927,100
wnba,2026,national,ATL,shot_zone,paint,attempt,espn_derived,464,0.17326362957430919,0.8922413793103449,14,450,0.9022222222222223,0
wnba,2026,national,CHI,ball_security,dead_ball_to,possession,espn_derived,212,0.06343506882106523,0,93,233,0,71
wnba,2026,national,CHI,ball_security,live_ball_to,possession,espn_derived,322,0.09634949132256133,0,43,312,0,64
wnba,2026,national,CHI,ball_security,no_turnover,possession,espn_derived,2808,0.8402154398563735,1.2254273504273505,79,2801,1.2709746519100322,86
wnba,2026,national,CHI,context,halfcourt,possession,espn_derived,2514,0.7522441651705566,0.984884645982498,21,2475,1.0084848484848485,29
wnba,2026,national,CHI,context,second_chance,possession,espn_derived,471,0.14093357271095153,1.0148619957537155,36,535,1,21
wnba,2026,national,CHI,context,transition,possession,espn_derived,357,0.10682226211849193,1.3641456582633054,21,336,1.5744047619047619,100
wnba,2026,national,CHI,creation,assisted,made_fg,espn_derived,858,0.6964285714285714,2.287878787878788,14,812,2.33128078817734,7
wnba,2026,national,CHI,creation,unassisted,made_fg,espn_derived,374,0.30357142857142855,2.128342245989305,79,448,2.1049107142857144,7
wnba,2026,national,CHI,shot_zone,above_break_3,attempt,espn_derived,693,0.2655172413793103,1.0216450216450217,14,724,1.031767955801105,7
wnba,2026,national,CHI,shot_zone,at_rim,attempt,espn_derived,911,0.34904214559386976,1.363336992316136,7,857,1.3932322053675612,21
wnba,2026,national,CHI,shot_zone,corner_3,attempt,espn_derived,177,0.067816091954023,1,7,193,1.0414507772020725,21
wnba,2026,national,CHI,shot_zone,mid_range,attempt,espn_derived,385,0.1475095785440613,0.6441558441558441,64,457,0.6301969365426696,29
wnba,2026,national,CHI,shot_zone,paint,attempt,espn_derived,444,0.17011494252873563,0.8648648648648649,0,440,0.9227272727272727,29
wnba,2026,national,CON,ball_security,dead_ball_to,possession,espn_derived,257,0.07949273120940303,0.0038910505836575876,29,243,0.00823045267489712,36
wnba,2026,national,CON,ball_security,live_ball_to,possession,espn_derived,322,0.09959789669038045,0.003105590062111801,29,351,0,14
wnba,2026,national,CON,ball_security,no_turnover,possession,espn_derived,2654,0.8209093721002165,1.1785983421250943,21,2637,1.3208191126279865,14
wnba,2026,national,CON,context,halfcourt,possession,espn_derived,2360,0.7299721620785647,0.9241525423728814,0,2459,1.0508336722244815,93
wnba,2026,national,CON,context,second_chance,possession,espn_derived,546,0.16888339004021033,0.9212454212454212,0,482,0.9585062240663901,0
wnba,2026,national,CON,context,transition,possession,espn_derived,327,0.10114444788122487,1.363914373088685,14,290,1.513793103448276,79
wnba,2026,national,CON,creation,assisted,made_fg,espn_derived,761,0.6549053356282272,2.275952693823916,0,805,2.35527950310559,43
wnba,2026,national,CON,creation,unassisted,made_fg,espn_derived,401,0.34509466437177283,2.052369077306733,0,411,2.1094890510948905,21
wnba,2026,national,CON,shot_zone,above_break_3,attempt,espn_derived,614,0.23715720355349557,0.9087947882736156,0,698,1.1991404011461317,100
wnba,2026,national,CON,shot_zone,at_rim,attempt,espn_derived,739,0.2854383932020085,1.3694181326116373,14,675,1.4459259259259258,86
wnba,2026,national,CON,shot_zone,corner_3,attempt,espn_derived,122,0.04712244109694863,1.1065573770491803,43,159,0.9811320754716981,14
wnba,2026,national,CON,shot_zone,mid_range,attempt,espn_derived,583,0.22518346852066434,0.6380789022298456,57,356,0.6179775280898876,21
wnba,2026,national,CON,shot_zone,paint,attempt,espn_derived,531,0.20509849362688296,0.9001883239171374,21,563,1.019538188277087,86
wnba,2026,national,DAL,ball_security,dead_ball_to,possession,espn_derived,227,0.07056263599626982,0.004405286343612335,57,215,0.004651162790697674,100
wnba,2026,national,DAL,ball_security,live_ball_to,possession,espn_derived,251,0.07802300279763755,0,100,296,0,71
wnba,2026,national,DAL,ball_security,no_turnover,possession,espn_derived,2739,0.8514143612060926,1.2928075940124133,100,2698,1.2553743513713862,43
wnba,2026,national,DAL,context,halfcourt,possession,espn_derived,2337,0.7264532172831831,1.042362002567394,71,2447,1.0138945647731916,36
wnba,2026,national,DAL,context,second_chance,possession,espn_derived,495,0.1538700652782095,1.0363636363636364,50,446,1.0246636771300448,43
wnba,2026,national,DAL,context,transition,possession,espn_derived,385,0.1196767174386074,1.5402597402597402,93,316,1.4240506329113924,43
wnba,2026,national,DAL,creation,assisted,made_fg,espn_derived,871,0.6573584905660378,2.3272101033295063,29,789,2.343472750316857,14
wnba,2026,national,DAL,creation,unassisted,made_fg,espn_derived,454,0.34264150943396227,2.090308370044053,21,452,2.1238938053097347,71
wnba,2026,national,DAL,shot_zone,above_break_3,attempt,espn_derived,728,0.2655964976286027,1.1167582417582418,79,764,1.0523560209424083,29
wnba,2026,national,DAL,shot_zone,at_rim,attempt,espn_derived,628,0.22911346224005838,1.4394904458598725,64,689,1.4020319303338171,43
wnba,2026,national,DAL,shot_zone,corner_3,attempt,espn_derived,152,0.055454213790587376,1.0855263157894737,36,141,1.2553191489361701,100
wnba,2026,national,DAL,shot_zone,mid_range,attempt,espn_derived,655,0.23896388179496533,0.8183206106870229,100,433,0.605080831408776,14
wnba,2026,national,DAL,shot_zone,paint,attempt,espn_derived,578,0.2108719445457862,0.9653979238754326,64,600,1,71
wnba,2026,national,GS,ball_security,dead_ball_to,possession,espn_derived,207,0.06815936779716826,0.004830917874396135,64,248,0.004032258064516129,21
wnba,2026,national,GS,ball_security,live_ball_to,possession,espn_derived,248,0.08165953243332236,0,93,328,0.003048780487804878,29
wnba,2026,national,GS,ball_security,no_turnover,possession,espn_derived,2582,0.8501810997695094,1.2683965917893105,86,2457,1.2165242165242165,0
wnba,2026,national,GS,context,halfcourt,possession,espn_derived,2264,0.7454725057622654,1.0530035335689045,86,2214,0.9367660343270099,0
wnba,2026,national,GS,context,second_chance,possession,espn_derived,520,0.17122160026341784,0.9903846153846154,14,504,0.9642857142857143,7
wnba,2026,national,GS,context,transition,possession,espn_derived,253,0.08330589397431676,1.4901185770750989,71,315,1.3682539682539683,14
wnba,2026,national,GS,creation,assisted,made_fg,espn_derived,773,0.6686851211072664,2.496765847347995,100,726,2.381542699724518,86
wnba,2026,national,GS,creation,unassisted,made_fg,espn_derived,383,0.3313148788927336,2.10443864229765,36,320,2.128125,79
wnba,2026,national,GS,shot_zone,above_break_3,attempt,espn_derived,915,0.3500382555470543,1.0918032786885246,57,724,1.0814917127071824,57
wnba,2026,national,GS,shot_zone,at_rim,attempt,espn_derived,461,0.17635807192042846,1.4360086767895879,57,467,1.3747323340471092,0
wnba,2026,national,GS,shot_zone,corner_3,attempt,espn_derived,254,0.0971690895179801,1.0748031496062993,21,182,0.9395604395604396,0
wnba,2026,national,GS,shot_zone,mid_range,attempt,espn_derived,430,0.16449885233358838,0.627906976744186,50,405,0.5975308641975309,0
wnba,2026,national,GS,shot_zone,paint,attempt,espn_derived,554,0.21193573068094873,0.9602888086642599,57,601,0.9517470881863561,50
wnba,2026,national,IND,ball_security,dead_ball_to,possession,espn_derived,275,0.08160237388724036,0,7,242,0.008264462809917356,46
wnba,2026,national,IND,ball_security,live_ball_to,possession,espn_derived,306,0.09080118694362017,0,71,288,0,79
wnba,2026,national,IND,ball_security,no_turnover,possession,espn_derived,2789,0.8275964391691395,1.3836500537827179,50,2842,1.2670654468684026,93
wnba,2026,national,IND,context,halfcourt,possession,espn_derived,2517,0.7468842729970326,1.1060786650774732,100,2527,1.0300751879699248,64
wnba,2026,national,IND,context,second_chance,possession,espn_derived,484,0.14362017804154303,1.0640495867768596,64,479,0.9979123173277662,14
wnba,2026,national,IND,context,transition,possession,espn_derived,369,0.10949554896142433,1.5176151761517616,86,366,1.4262295081967213,50
wnba,2026,national,IND,creation,assisted,made_fg,espn_derived,831,0.6087912087912087,2.371841155234657,57,828,2.3285024154589373,0
wnba,2026,national,IND,creation,unassisted,made_fg,espn_derived,534,0.3912087912087912,2.202247191011236,100,479,2.079331941544885,0
wnba,2026,national,IND,shot_zone,above_break_3,attempt,espn_derived,811,0.3054613935969868,1.2725030826140566,100,680,1.05,21
wnba,2026,national,IND,shot_zone,at_rim,attempt,espn_derived,742,0.27947269303201505,1.4528301886792452,79,820,1.3804878048780487,7
wnba,2026,national,IND,shot_zone,corner_3,attempt,espn_derived,178,0.06704331450094161,1.2303370786516854,93,193,1.1191709844559585,43
wnba,2026,national,IND,shot_zone,mid_range,attempt,espn_derived,425,0.160075329566855,0.6776470588235294,79,458,0.6724890829694323,64
wnba,2026,national,IND,shot_zone,paint,attempt,espn_derived,499,0.18794726930320152,1.062124248496994,93,564,0.9822695035460993,64
wnba,2026,national,LA,ball_security,dead_ball_to,possession,espn_derived,223,0.06692677070828332,0.004484304932735426,86,245,0,29
wnba,2026,national,LA,ball_security,live_ball_to,possession,espn_derived,389,0.1167466986794718,0,0,325,0.006153846153846154,36
wnba,2026,national,LA,ball_security,no_turnover,possession,espn_derived,2720,0.8163265306122449,1.2761029411764706,14,2754,1.3231663035584604,71
wnba,2026,national,LA,context,halfcourt,possession,espn_derived,2542,0.762905162064826,0.9893784421715185,29,2433,1.0337032470201397,86
wnba,2026,national,LA,context,second_chance,possession,espn_derived,432,0.12965186074429771,1.0208333333333333,43,492,1.0914634146341464,79
wnba,2026,national,LA,context,transition,possession,espn_derived,358,0.10744297719087635,1.441340782122905,43,399,1.4887218045112782,71
wnba,2026,national,LA,creation,assisted,made_fg,espn_derived,876,0.6919431279620853,2.3401826484018264,36,895,2.346368715083799,21
wnba,2026,national,LA,creation,unassisted,made_fg,espn_derived,390,0.3080568720379147,2.1256410256410256,71,449,2.11358574610245,43
wnba,2026,national,LA,shot_zone,above_break_3,attempt,espn_derived,805,0.311171240819482,1.062111801242236,43,795,1.0830188679245283,64
wnba,2026,national,LA,shot_zone,at_rim,attempt,espn_derived,713,0.2756088132972555,1.5315568022440393,100,797,1.4880803011292347,100
wnba,2026,national,LA,shot_zone,corner_3,attempt,espn_derived,173,0.06687282566679552,1.0751445086705202,29,204,1.088235294117647,29
