league,season,population,team,dimension,category,unit,source,off_n,off_freq,off_ppp,off_ppp_pctl,def_n,def_ppp,def_ppp_pctl
wbb,2026,Mountain West,AF,context,halfcourt,possession,espn_derived,1817,0.7508264462809917,0.8244358833241607,55,1980,0.8449494949494949,73
wbb,2026,Mountain West,AF,context,second_chance,possession,espn_derived,350,0.1446280991735537,0.82,0,235,1.127659574468085,100
wbb,2026,Mountain West,AF,context,transition,possession,espn_derived,253,0.10454545454545454,1.1857707509881423,36,219,1.2465753424657535,45
wbb,2026,Mountain West,AF,creation,assisted,made_fg,espn_derived,392,0.5157894736842106,2.454081632653061,45,420,2.395238095238095,18
wbb,2026,Mountain West,AF,creation,unassisted,made_fg,espn_derived,368,0.4842105263157895,2.046195652173913,18,381,2.0761154855643045,73
wbb,2026,Mountain West,AF,shot_zone,above_break_3,attempt,espn_derived,549,0.2572633552014995,0.8032786885245902,27,421,1.004750593824228,100
wbb,2026,Mountain West,AF,shot_zone,at_rim,attempt,espn_derived,415,0.1944704779756326,1.074698795180723,9,520,1.2346153846153847,100
wbb,2026,Mountain West,AF,shot_zone,corner_3,attempt,espn_derived,153,0.07169634489222118,0.9411764705882353,36,163,0.9938650306748467,55
wbb,2026,Mountain West,AF,shot_zone,mid_range,attempt,espn_derived,462,0.21649484536082475,0.5541125541125541,9,195,0.5846153846153846,9
wbb,2026,Mountain West,AF,shot_zone,paint,attempt,espn_derived,555,0.2600749765698219,0.7711711711711712,27,509,0.8958742632612967,82
wbb,2026,Mountain West,BOIS,context,halfcourt,possession,espn_derived,1917,0.7792682926829269,0.8888888888888888,73,1917,0.7897756911841419,27
wbb,2026,Mountain West,BOIS,context,second_chance,possession,espn_derived,313,0.12723577235772357,1.099041533546326,73,292,1.0787671232876712,82
wbb,2026,Mountain West,BOIS,context,transition,possession,espn_derived,230,0.09349593495934959,1.291304347826087,73,234,1.358974358974359,91
wbb,2026,Mountain West,BOIS,creation,assisted,made_fg,espn_derived,526,0.6130536130536131,2.370722433460076,9,407,2.481572481572482,82
wbb,2026,Mountain West,BOIS,creation,unassisted,made_fg,espn_derived,332,0.38694638694638694,2.102409638554217,91,382,2.075916230366492,64
wbb,2026,Mountain West,BOIS,shot_zone,above_break_3,attempt,espn_derived,483,0.23958333333333334,1.049689440993789,100,636,0.8349056603773585,9
wbb,2026,Mountain West,BOIS,shot_zone,at_rim,attempt,espn_derived,389,0.19295634920634921,1.095115681233933,36,380,1.1157894736842104,45
wbb,2026,Mountain West,BOIS,shot_zone,corner_3,attempt,espn_derived,126,0.0625,1.4285714285714286,100,154,0.935064935064935,27
wbb,2026,Mountain West,BOIS,shot_zone,mid_range,attempt,espn_derived,405,0.20089285714285715,0.7111111111111111,82,280,0.6,27
wbb,2026,Mountain West,BOIS,shot_zone,paint,attempt,espn_derived,613,0.3040674603174603,0.8874388254486134,82,590,0.9084745762711864,91
wbb,2026,Mountain West,CSU,context,halfcourt,possession,espn_derived,1909,0.811994895789026,0.9429020429544264,91,1844,0.7597613882863341,9
wbb,2026,Mountain West,CSU,context,second_chance,possession,espn_derived,243,0.10336027222458528,1.1481481481481481,91,281,0.9323843416370107,0
wbb,2026,Mountain West,CSU,context,transition,possession,espn_derived,199,0.08464483198638877,1.170854271356784,27,226,1.1238938053097345,0
wbb,2026,Mountain West,CSU,creation,assisted,made_fg,espn_derived,406,0.48856799037304455,2.5320197044334973,73,339,2.5309734513274336,100
wbb,2026,Mountain West,CSU,creation,unassisted,made_fg,espn_derived,425,0.5114320096269555,2.030588235294118,0,345,2.081159420289855,82
wbb,2026,Mountain West,CSU,shot_zone,above_break_3,attempt,espn_derived,508,0.25630676084762866,0.9330708661417323,55,614,0.8550488599348535,36
wbb,2026,Mountain West,CSU,shot_zone,at_rim,attempt,espn_derived,512,0.25832492431886983,1.24609375,82,328,1.0975609756097562,18
wbb,2026,Mountain West,CSU,shot_zone,corner_3,attempt,espn_derived,200,0.10090817356205853,1.065,73,113,0.8761061946902655,18
wbb,2026,Mountain West,CSU,shot_zone,mid_range,attempt,espn_derived,284,0.1432896064581231,0.7676056338028169,100,431,0.6032482598607889,36
wbb,2026,Mountain West,CSU,shot_zone,paint,attempt,espn_derived,478,0.24117053481331988,0.7280334728033473,9,475,0.6989473684210527,9
wbb,2026,Mountain West,FRES,context,halfcourt,possession,espn_derived,1728,0.7337579617834394,0.7858796296296297,36,1896,0.7484177215189873,0
wbb,2026,Mountain West,FRES,context,second_chance,possession,espn_derived,346,0.14692144373673036,0.9855491329479769,36,267,1.0337078651685394,64
wbb,2026,Mountain West,FRES,context,transition,possession,espn_derived,281,0.11932059447983015,1.2562277580071175,64,205,1.302439024390244,73
wbb,2026,Mountain West,FRES,creation,assisted,made_fg,espn_derived,340,0.4381443298969072,2.402941176470588,18,374,2.374331550802139,9
wbb,2026,Mountain West,FRES,creation,unassisted,made_fg,espn_derived,436,0.5618556701030928,2.06651376146789,73,326,2.0705521472392636,55
wbb,2026,Mountain West,FRES,shot_zone,above_break_3,attempt,espn_derived,405,0.2033132530120482,0.9629629629629629,64,430,0.8023255813953488,0
wbb,2026,Mountain West,FRES,shot_zone,at_rim,attempt,espn_derived,420,0.21084337349397592,1.0809523809523809,18,402,1.208955223880597,91
wbb,2026,Mountain West,FRES,shot_zone,corner_3,attempt,espn_derived,115,0.05773092369477912,0.9391304347826087,27,140,1.0285714285714285,64
wbb,2026,Mountain West,FRES,shot_zone,mid_range,attempt,espn_derived,332,0.16666666666666666,0.6987951807228916,64,190,0.42105263157894735,0
wbb,2026,Mountain West,FRES,shot_zone,paint,attempt,espn_derived,720,0.3614457831325301,0.7416666666666667,18,596,0.8523489932885906,64
wbb,2026,Mountain West,GCU,context,halfcourt,possession,espn_derived,1754,0.7642701525054466,0.7953249714937286,45,1838,0.8226332970620239,45
wbb,2026,Mountain West,GCU,context,second_chance,possession,espn_derived,290,0.12636165577342048,1.0862068965517242,64,238,1.0756302521008403,73
wbb,2026,Mountain West,GCU,context,transition,possession,espn_derived,251,0.10936819172113289,1.350597609561753,100,232,1.1594827586206897,27
